id;parent;name;designation
1;1080p Awesome Fresh Soap;content;purple
2;Chicken Internal;synthesize convergence transition;transmit object-oriented
3;Qatari Rial Ergonomic;feed benchmark;mobile success Kids
4;Tools;Jewelery;Platinum compress
5;end-to-end;Health Intelligent Wooden Shirt Refined Fresh Keyboard;withdrawal pixel
6;revolutionary Group synergies;XML Palestinian Territory Customer-focused;Metal Intelligent
7;Enhanced functionalities Solutions;program users AGP;Organic Product Functionality
8;infomediaries;Gorgeous;CFA Franc BCEAO
9;focus group;Plastic deposit panel;Strategist
10;Optimization;Chile enhance;Mountain optical
